"table_name","column_name","data_type","is_nullable"
"Home_adminuser","id","bigint","NO"
"Home_adminuser","username","character varying","NO"
"Home_adminuser","password","character varying","NO"
"Home_adminuser","is_active","boolean","NO"
"Home_adminuser","created_at","timestamp with time zone","NO"
"Home_attendancephotos","id","bigint","NO"
"Home_attendancephotos","photo","character varying","NO"
"Home_attendancephotos","uploaded_at","timestamp with time zone","NO"
"Home_attendancephotos","class_session_id","bigint","NO"
"Home_attendancerecord","id","bigint","NO"
"Home_attendancerecord","status","boolean","NO"
"Home_attendancerecord","marked_at","timestamp with time zone","NO"
"Home_attendancerecord","class_session_id","bigint","NO"
"Home_attendancerecord","student_id","bigint","NO"
"Home_classsession","id","bigint","NO"
"Home_classsession","year","integer","NO"
"Home_classsession","class_datetime","timestamp with time zone","NO"
"Home_classsession","department_id","bigint","NO"
"Home_classsession","subject_id","bigint","NO"
"Home_classsession","teacher_id","bigint","NO"
"Home_department","id","bigint","NO"
"Home_department","name","text","NO"
"Home_student","id","bigint","NO"
"Home_student","prn","bigint","NO"
"Home_student","name","text","NO"
"Home_student","email","character varying","NO"
"Home_student","password_hash","text","YES"
"Home_student","year","integer","NO"
"Home_student","face_embedding","USER-DEFINED","YES"
"Home_student","notification_token","text","YES"
"Home_student","department_id","bigint","NO"
"Home_studentattendancepercentage","id","bigint","NO"
"Home_studentattendancepercentage","present_count","integer","NO"
"Home_studentattendancepercentage","attendancePercentage","double precision","NO"
"Home_studentattendancepercentage","student_id","bigint","NO"
"Home_studentattendancepercentage","subject_id","bigint","NO"
"Home_studentenrollment","id","bigint","NO"
"Home_studentenrollment","student_prn","bigint","NO"
"Home_studentenrollment","subject_id","bigint","NO"
"Home_subject","id","bigint","NO"
"Home_subject","code","text","NO"
"Home_subject","name","text","NO"
"Home_subjectfromdept","id","bigint","NO"
"Home_subjectfromdept","year","integer","NO"
"Home_subjectfromdept","semester","integer","NO"
"Home_subjectfromdept","department_id","bigint","NO"
"Home_subjectfromdept_subject","id","bigint","NO"
"Home_subjectfromdept_subject","subjectfromdept_id","bigint","NO"
"Home_subjectfromdept_subject","subject_id","bigint","NO"
"Home_teacher","id","bigint","NO"
"Home_teacher","name","text","NO"
"Home_teacher","email","character varying","NO"
"Home_teacher","password_hash","text","YES"
"Home_teacher","date_joined","date","YES"
"Home_teacher","department_id","bigint","NO"
"Home_teachersubject","id","bigint","NO"
"Home_teachersubject","subject_id","bigint","NO"
"Home_teachersubject","teacher_id_id","bigint","NO"
"auth_group","id","integer","NO"
"auth_group","name","character varying","NO"
"auth_group_permissions","id","bigint","NO"
"auth_group_permissions","group_id","integer","NO"
"auth_group_permissions","permission_id","integer","NO"
"auth_permission","id","integer","NO"
"auth_permission","name","character varying","NO"
"auth_permission","content_type_id","integer","NO"
"auth_permission","codename","character varying","NO"
"auth_user","id","integer","NO"
"auth_user","password","character varying","NO"
"auth_user","last_login","timestamp with time zone","YES"
"auth_user","is_superuser","boolean","NO"
"auth_user","username","character varying","NO"
"auth_user","first_name","character varying","NO"
"auth_user","last_name","character varying","NO"
"auth_user","email","character varying","NO"
"auth_user","is_staff","boolean","NO"
"auth_user","is_active","boolean","NO"
"auth_user","date_joined","timestamp with time zone","NO"
"auth_user_groups","id","bigint","NO"
"auth_user_groups","user_id","integer","NO"
"auth_user_groups","group_id","integer","NO"
"auth_user_user_permissions","id","bigint","NO"
"auth_user_user_permissions","user_id","integer","NO"
"auth_user_user_permissions","permission_id","integer","NO"
"django_admin_log","id","integer","NO"
"django_admin_log","action_time","timestamp with time zone","NO"
"django_admin_log","object_id","text","YES"
"django_admin_log","object_repr","character varying","NO"
"django_admin_log","action_flag","smallint","NO"
"django_admin_log","change_message","text","NO"
"django_admin_log","content_type_id","integer","YES"
"django_admin_log","user_id","integer","NO"
"django_content_type","id","integer","NO"
"django_content_type","app_label","character varying","NO"
"django_content_type","model","character varying","NO"
"django_migrations","id","bigint","NO"
"django_migrations","app","character varying","NO"
"django_migrations","name","character varying","NO"
"django_migrations","applied","timestamp with time zone","NO"
"django_session","session_key","character varying","NO"
"django_session","session_data","text","NO"
"django_session","expire_date","timestamp with time zone","NO"
